d	r	c	M	maxR_num	maxR_den	argk	hstar	lam	mu	nu	src
9	6	60	1370	14685	27773	1	1,50,382,658,263,16,0,0,0,0	16,13,10,7,4,1	16,10,7,4,1	31,20,18,8,6,6	purged_region\pop_profile.jsonl
6	6	10	8	8	177	1	1,3,4,0,0,0,0	7,6,4,4,2,1	11,7,7,6	16,12,12,10,3,2	purged_region\pop_profile.jsonl
6	5	84	1124	1025	1409	1	1,77,470,490,85,1,0	20,15,10,7,1	14,9,4,1	31,24,13,9,4	purged_region\pop_profile.jsonl
5	5	30	95	162	457	1	1,24,54,16,0,0	13,10,7,4,1	23,13,3	34,22,10,5,3	purged_region\pop_profile.jsonl
6	5	43	240	263	577	1	1,36,130,70,3,0,0	16,10,7,4,1	14,11,8,5,2	28,19,17,8,6	purged_region\pop_profile.jsonl
5	5	37	145	4	9	1	1,31,84,29,0,0	22,16,10,7,4	17,10,3	36,25,11,9,8	purged_region\pop_profile.jsonl
5	5	18	25	36	281	1	1,12,12,0,0,0	14,11,8,5,1	14,9,6,3	27,18,14,6,6	purged_region\pop_profile.jsonl
3	5	9	9	1	7	1	1,5,3,0	7,4,2,1,1	10,7,5,5,1	15,10,8,6,4	purged_region\pop_profile.jsonl
7	6	18	55	280	1753	1	1,10,28,16,0,0,0,0	9,6,4,3,1,1	14,5,3,2,1,1	22,9,6,6,4,3	purged_region\pop_profile.jsonl
6	5	30	96	108	395	1	1,23,54,18,0,0,0	13,10,7,4,1	14,11,7,4,1	26,20,11,10,5	purged_region\pop_profile.jsonl
5	5	101	890	486	631	1	1,95,465,308,21,0	16,13,10,6,3	16,10,7,4,1	29,22,15,10,10	purged_region\pop_profile.jsonl
3	5	17	25	11	37	1	1,13,11,0	19,13,10,7,4	11,6,3	27,18,15,7,6	purged_region\pop_profile.jsonl
6	5	100	1430	1305	1709	1	1,93,600,630,105,1,0	13,10,7,4,1	19,11,8,5,2	30,19,16,9,6	purged_region\pop_profile.jsonl
6	5	16	28	1	8	1	1,9,15,3,0,0,0	19,12,9,4,1	12,8,5,2	30,17,16,5,4	purged_region\pop_profile.jsonl
6	5	61	424	233	410	1	1,54,230,133,6,0,0	18,10,7,4,1	14,11,8,5,2	29,20,17,9,5	purged_region\pop_profile.jsonl
6	5	28	68	3	14	1	1,21,39,7,0,0,0	19,13,10,4,1	11,7,4,1	29,18,14,7,2	purged_region\pop_profile.jsonl
