g6	n	m	Q	bip	dist	phi	tf	mtf
H?`@Fbo	9	11	9	0	3	111133300	1	0
H?`@F`w	9	11	9	1	5	111113300	1	0
H?`@F_{	9	11	9	2	5	441133002	1	0
H?`@F_]	9	11	9	1	5	441133102	1	0
H?`DF@w	9	11	9	1	4	200331114	1	0
H?`DFAs	9	11	9	1	4	020313114	1	0
H?`DF?{	9	11	9	1	5	003111442	1	0
H?`DF@Q	9	10	9	1	6	000333110	1	0
H?`DF@Y	9	11	9	1	5	030313112	1	0
H?`DF?]	9	11	9	0	4	000333112	1	0
H?`DF?N	9	11	9	0	4	131303001	1	0
H?`DF?^	9	12	9	0	3	000333112	1	0
H?`DAb_	9	9	9	0	5	000333131	1	0
H?`DAao	9	9	9	0	5	030033131	1	0
H?`DAbo	9	10	9	0	5	141133030	1	0
H?`DA_g	9	8	9	1	6	002000303	1	0
H?`DA`g	9	9	9	1	6	300303331	1	0
H?`DA_w	9	9	9	1	6	224442220	1	0
H?`DA`w	9	10	9	1	6	311113300	1	0
H?`DA_{	9	10	9	2	6	224411330	1	0
H?`DEbo	9	11	9	0	4	022244411	1	0
H?`DE`w	9	11	9	1	5	241413130	1	0
H?`DEas	9	11	9	1	5	200030311	1	0
H?`DE_{	9	11	9	2	5	224411330	1	0
H?`DE`Y	9	11	9	1	5	242410130	1	0
H?`D@b_	9	9	9	0	5	000333131	1	0
H?`D@`O	9	8	9	0	6	000200033	1	0
H?`D@bO	9	9	9	0	6	003033331	1	0
H?`D@ao	9	9	9	0	4	030033111	1	0
H?`D@`o	9	9	9	0	5	300033311	1	0
H?`D@bo	9	10	9	0	5	131133000	1	0
H?`D@`g	9	9	9	1	6	300303331	1	0
H?`D@_W	9	8	9	1	6	020022442	1	0
H?`D@`W	9	9	9	1	6	242442220	1	0
H?`D@_w	9	9	9	1	5	330003311	1	0
H?`D@`w	9	10	9	1	6	311113300	1	0
H?`D@b@	9	9	9	1	6	003333301	1	0
H?`DDbo	9	11	9	0	4	030033111	1	0
H?`DD`w	9	11	9	1	5	030033114	1	0
H?`DBb_	9	10	9	0	5	000333111	1	0
H?`DBbO	9	10	9	0	5	022244411	1	0
H?`DBbo	9	11	9	0	4	144422200	1	0
H?`DB`g	9	10	9	1	6	300224411	1	0
H?`DB`w	9	11	9	1	5	311113300	1	0
H?`DBac	9	10	9	1	5	020243414	1	0
H?`DBaS	9	10	9	1	6	013310424	1	0
H?`DBas	9	11	9	1	5	411131300	1	0
H?`DB_[	9	10	9	1	6	244113302	1	0
H?`DB_{	9	11	9	2	5	331144220	1	0
H?`DB`Q	9	10	9	1	6	300033011	1	0
H?`DB`I	9	10	9	1	5	103301241	1	0
H?`DB_Y	9	10	9	1	6	411330024	1	0
H?`DB`Y	9	11	9	1	5	013142420	1	0
H?`DB_M	9	10	9	0	5	133300021	1	0
H?`DB_]	9	11	9	1	5	022441130	1	0
H?`DB_N	9	11	9	0	4	133300021	1	0
H?`DF`w	9	12	9	1	5	144422200	1	0
H?`DF_{	9	12	9	2	4	441133002	1	0
H?`DF`Y	9	12	9	2	4	414130302	1	0
H?`DF_]	9	12	9	1	4	414131302	1	0
H?`D@R_	9	9	9	1	5	000333131	1	0
H?`D@Qo	9	9	9	1	5	030313111	1	0
H?`D@Ro	9	10	9	1	5	141424220	1	0
H?`DBR_	9	10	9	1	5	000333111	1	0
H?`DBRO	9	10	9	1	6	022043131	1	0
H?`DBRo	9	11	9	1	5	144123030	1	0
H?`DBPg	9	10	9	1	4	300303311	1	0
H?`DBPw	9	11	9	1	5	341143200	1	0
H?`DBQc	9	10	9	1	6	030313111	1	0
H?`DBQs	9	11	9	1	5	124421030	1	0
H?`DBOk	9	10	9	2	6	130303111	1	0
H?`DBO{	9	11	9	2	6	031313002	1	0
H?`D@r_	9	10	9	1	5	022441131	1	0
H?`D@rO	9	10	9	1	6	003311424	1	0
H?`D@qo	9	10	9	1	5	030033111	1	0
H?`D@ro	9	11	9	1	5	114422030	1	0
H?`D@pg	9	10	9	1	6	130303111	1	0
H?`D@pw	9	11	9	1	5	311113300	1	0
H?`DBpw	9	12	9	1	4	311113300	1	0
H?`DBo{	9	12	9	2	6	311111300	1	0
H?`FEbo	9	12	9	0	4	000033111	1	0
H?`FE`w	9	12	9	1	5	300021441	1	0
H?`FE_{	9	12	9	2	4	220033114	1	0
H?`FF_{	9	13	9	2	3	220033114	1	0
H?`FF_]	9	13	9	1	4	111333004	1	0
H?`FBRo	9	12	9	1	4	200234141	1	0
H?`FBQs	9	12	9	2	5	131414220	1	0
H?`FBOV	9	12	9	1	4	111313004	1	0
H?`FAro	9	12	9	1	4	202034141	1	0
H?`FAqs	9	12	9	2	6	131114220	1	0
H?`FAo]	9	12	9	1	4	144220031	1	0
H?`FBqs	9	13	9	2	5	311141202	1	0
H?`FBo{	9	13	9	2	5	141113002	1	0
H?`FBo]	9	13	9	2	3	411330024	1	0
H?`F@Z_	9	11	9	1	5	000333131	1	0
H?`F@Zo	9	12	9	1	4	114422030	1	0
H?`F@Xg	9	11	9	2	6	300303111	1	0
H?`F@Xw	9	12	9	2	6	311141200	1	0
H?`F?zO	9	11	9	1	5	002244131	1	0
H?`F?zo	9	12	9	1	4	114422030	1	0
